transaction_date,customer_id,email,region,product,channel,revenue_inr,quantity,discount_pct,order_ref,is_returned
2024-05-12 00:00:00,CUST09036,user6253@yahoo.com,West,Widget B,Retail,18427.0,2,0,796871,False
2025-02-17 00:00:00,CUST01690,user1857@company.in,,Service Pack,Direct,28372.0,4,10,806463,False
2024-02-04 00:00:00,CUST08087,user5927@yahoo.com,East,Service Pack,Retail,34670.0,47,5,353127,False
2024-05-11 00:00:00,CUST09369,user9625@company.in,West,,Direct,2736763.0,32,15,981197,False
2024-09-02 00:00:00,CUST01042,user1530@yahoo.com,Central,Widget A,Retail,44433.0,35,0,222088,False
2024-01-22 00:00:00,CUST01506,user2659@company.in,North,Premium Bundle,Retail,4393.0,13,0,243916,False
2024-04-30 00:00:00,CUST06283,user5408@outlook.com,,Widget B,Retail,13123.0,9,10,365866,False
2024-06-19 00:00:00,CUST03253,user3470@yahoo.com,West,,Online,42158.0,9,10,297045,True
2024-08-31 00:00:00,CUST06547,,West,Widget A,Partner,29782.0,9,5,465592,False
2024-12-07 00:00:00,CUST01005,user9409@gmail.com,South,Widget B,Online,13406.0,48,15,908501,False
2024-10-06 00:00:00,CUST09378,user6731@company.in,East,Gadget Pro,Partner,48433.0,34,20,694045,False
2024-07-18 00:00:00,CUST03141,,East,Service Pack,Online,23727.0,10,5,180275,False
2024-04-17 00:00:00,CUST09456,,North,Gadget Pro,Retail,21121.0,21,0,237653,False
2024-08-20 00:00:00,CUST02153,,East,Gadget Pro,Partner,28750.0,42,0,ORD-GRNUKX,False
2024-04-22 00:00:00,CUST06697,user8770@gmail.com,North,Widget A,Online,7069.0,2,20,249896,True
2024-05-16 00:00:00,CUST07168,user2200@yahoo.com,East,Widget A,Online,47395.0,20,10,828755,False
2024-07-18 00:00:00,CUST04084,user6820@yahoo.com,East,Premium Bundle,Online,12547.0,46,10,151735,False
2024-01-23 00:00:00,CUST09350,user6094@company.in,,Service Pack,Partner,32586.0,13,20,981747,False
2024-10-04 00:00:00,CUST05294,user3301@outlook.com,East,Service Pack,Retail,40776.0,9,10,962691,False
2024-03-14 00:00:00,CUST05902,,North,Gadget Pro,Partner,19547.0,26,0,616285,False
2024-08-03 00:00:00,CUST04531,user2275@company.in,Central,Premium Bundle,Online,19647.0,34,20,725127,False
2024-03-13 14:00:00,CUST03694,user7566@outlook.com,Central,,Direct,2986495.0,48,20,206464,True
2024-01-30 00:00:00,CUST08785,user4321@yahoo.com,West,Widget B,Retail,13664.0,1,10,126390,False
2024-12-13 00:00:00,CUST02326,user9683@yahoo.com,North,Widget B,Partner,591356.0,44,20,578228,False
2024-08-27 00:00:00,CUST05848,user8381@outlook.com,North,Widget A,Online,7404.0,5,15,ORD-FEBJDA,False
2025-01-05 00:00:00,CUST05071,user2435@company.in,South,,Partner,40253.0,12,10,320755,False
2024-12-29 00:00:00,CUST08001,user1911@outlook.com,West,Widget A,Partner,4215.0,33,15,ORD-GKFROY,False
2024-08-10 00:00:00,CUST05969,user8999@yahoo.com,West,Widget A,Retail,49888.0,5,15,638350,False
2024-03-12 05:00:00,CUST05648,user3938@yahoo.com,Central,Widget B,Online,907118.0,12,0,490296,False
2024-09-21 00:00:00,CUST06336,user5833@yahoo.com,East,,Direct,27731.0,1,5,339047,False
2024-01-04 00:00:00,CUST08506,user5775@outlook.com,South,Gadget Pro,Direct,31001.0,18,15,811226,False
2024-12-29 00:00:00,CUST08634,user8032@gmail.com,North,Widget A,Direct,38694.0,2,10,162524,False
